,5tru_ID_1,5xj3_ID_1,6rp8_ID_1,7su0_ID_1,5xj3_ID_2,5ggv,5xj3_ID_3,9dq4,5tru_ID_2,5xj3_ID_4,7su0_ID_2,9dq3,7su1,6rp8_ID_2,8tui,7bxa_ID_1,5ggs_ID_1,5ggs_ID_2,8gy5_ID_1,8gy5_ID_2,5b8c_ID_1,7wvm_ID_1,5b8c_ID_2,6xkr,5ggr_ID_1,5ggr_ID_2,7cgw_ID_1,7bxa_ID_2,7cgw_ID_2,5jxe_ID_1,5wt9,5jxe_ID_2,5b8c_ID_3,5b8c_ID_4,7wvm_ID_2,7wsl,7cu5_ID_1,7cu5_ID_2,6k0y,5grj,5x8l_ID_1,5x8l_ID_2,5x8l_ID_3,5x8l_ID_4,5x8m,5xj4,5x8l_ID_5,5xxy,6txz_ID_1,6txz_ID_2,6txz_ID_3,6txz_ID_4
6rp8_ID_2,85.71,71.43,57.14,85.71,55.56,50.0,75.0,35.71,85.71,57.14,70.0,75.0,71.43,100.0,12.5,27.27,20.0,20.0,14.29,14.29,27.27,28.57,21.43,28.57,12.5,14.29,14.29,25.0,12.5,12.5,14.29,14.29,30.0,18.18,25.0,28.57,14.29,28.57,28.57,42.86,25.0,36.36,21.43,18.18,14.29,14.29,33.33,21.05,22.22,14.29,14.29,14.29
8tui,25.0,25.0,0.0,12.5,22.22,10.0,25.0,14.29,12.5,12.5,20.0,25.0,12.5,12.5,100.0,27.27,40.0,40.0,12.5,12.5,36.36,12.5,28.57,25.0,25.0,25.0,25.0,25.0,25.0,37.5,25.0,37.5,40.0,36.36,12.5,25.0,12.5,12.5,25.0,25.0,16.67,9.09,14.29,18.18,25.0,12.5,11.11,10.53,22.22,25.0,25.0,25.0
7bxa_ID_1,27.27,18.18,9.09,27.27,27.27,36.36,18.18,14.29,27.27,9.09,36.36,18.18,18.18,27.27,27.27,100.0,45.45,45.45,18.18,18.18,45.45,18.18,35.71,36.36,18.18,18.18,36.36,72.73,36.36,45.45,18.18,27.27,45.45,45.45,18.18,18.18,9.09,18.18,18.18,18.18,16.67,9.09,14.29,18.18,18.18,9.09,18.18,10.53,18.18,18.18,27.27,18.18
5ggs_ID_1,20.0,20.0,10.0,20.0,20.0,20.0,20.0,7.14,20.0,0.0,20.0,20.0,20.0,20.0,40.0,45.45,100.0,90.0,30.0,30.0,63.64,40.0,57.14,40.0,40.0,30.0,40.0,40.0,50.0,40.0,30.0,30.0,80.0,72.73,30.0,30.0,10.0,20.0,30.0,20.0,16.67,18.18,14.29,18.18,20.0,10.0,30.0,15.79,30.0,20.0,30.0,30.0
5ggs_ID_2,20.0,20.0,10.0,20.0,30.0,20.0,30.0,14.29,20.0,10.0,20.0,20.0,20.0,20.0,40.0,45.45,90.0,100.0,20.0,20.0,63.64,30.0,64.29,40.0,40.0,30.0,50.0,40.0,50.0,50.0,30.0,30.0,80.0,81.82,20.0,30.0,10.0,20.0,30.0,20.0,16.67,18.18,14.29,18.18,30.0,20.0,20.0,10.53,30.0,20.0,30.0,30.0
8gy5_ID_1,14.29,16.67,16.67,14.29,22.22,10.0,12.5,14.29,14.29,33.33,10.0,12.5,33.33,14.29,12.5,18.18,30.0,20.0,100.0,83.33,36.36,66.67,28.57,14.29,37.5,28.57,14.29,12.5,25.0,25.0,28.57,16.67,10.0,9.09,62.5,57.14,50.0,50.0,50.0,28.57,25.0,27.27,21.43,27.27,16.67,16.67,33.33,15.79,22.22,16.67,14.29,14.29
8gy5_ID_2,14.29,16.67,16.67,14.29,22.22,10.0,12.5,14.29,14.29,16.67,10.0,12.5,33.33,14.29,12.5,18.18,30.0,20.0,83.33,100.0,45.45,66.67,28.57,14.29,37.5,42.86,14.29,12.5,25.0,25.0,28.57,16.67,10.0,9.09,50.0,57.14,50.0,50.0,50.0,28.57,16.67,18.18,14.29,18.18,0.0,16.67,22.22,10.53,22.22,16.67,14.29,14.29
5b8c_ID_1,18.18,18.18,18.18,27.27,27.27,27.27,27.27,21.43,27.27,9.09,27.27,27.27,36.36,27.27,36.36,45.45,63.64,63.64,36.36,45.45,100.0,36.36,71.43,36.36,36.36,27.27,36.36,36.36,36.36,54.55,18.18,27.27,63.64,63.64,27.27,36.36,27.27,36.36,27.27,27.27,16.67,18.18,14.29,18.18,9.09,9.09,18.18,10.53,27.27,18.18,27.27,27.27
7wvm_ID_1,14.29,16.67,16.67,28.57,11.11,10.0,25.0,14.29,28.57,16.67,20.0,25.0,33.33,28.57,12.5,18.18,40.0,30.0,66.67,66.67,36.36,100.0,21.43,14.29,50.0,42.86,14.29,25.0,25.0,12.5,42.86,16.67,20.0,18.18,62.5,57.14,33.33,33.33,50.0,28.57,16.67,18.18,14.29,18.18,16.67,16.67,33.33,15.79,11.11,16.67,14.29,14.29
5b8c_ID_2,21.43,21.43,21.43,21.43,28.57,21.43,21.43,21.43,21.43,21.43,21.43,21.43,28.57,21.43,28.57,35.71,57.14,64.29,28.57,28.57,71.43,21.43,100.0,35.71,35.71,28.57,42.86,28.57,42.86,50.0,21.43,21.43,57.14,64.29,21.43,28.57,21.43,28.57,28.57,21.43,28.57,28.57,28.57,28.57,28.57,14.29,21.43,21.05,21.43,14.29,21.43,21.43
6xkr,28.57,28.57,14.29,28.57,22.22,30.0,25.0,21.43,28.57,0.0,30.0,25.0,28.57,28.57,25.0,36.36,40.0,40.0,14.29,14.29,36.36,14.29,35.71,100.0,25.0,28.57,71.43,50.0,62.5,50.0,28.57,28.57,40.0,45.45,12.5,14.29,14.29,28.57,28.57,14.29,16.67,9.09,14.29,18.18,28.57,14.29,22.22,10.53,11.11,14.29,14.29,14.29
5ggr_ID_1,25.0,25.0,0.0,12.5,22.22,10.0,25.0,14.29,12.5,12.5,20.0,25.0,12.5,12.5,25.0,18.18,40.0,40.0,37.5,37.5,36.36,50.0,35.71,25.0,100.0,87.5,37.5,25.0,50.0,62.5,75.0,25.0,40.0,45.45,50.0,50.0,25.0,25.0,62.5,25.0,16.67,27.27,21.43,27.27,37.5,25.0,33.33,21.05,22.22,12.5,12.5,12.5
5ggr_ID_2,28.57,28.57,0.0,14.29,22.22,10.0,25.0,14.29,14.29,14.29,20.0,25.0,14.29,14.29,25.0,18.18,30.0,30.0,28.57,42.86,27.27,42.86,28.57,28.57,87.5,100.0,42.86,25.0,50.0,50.0,85.71,14.29,30.0,36.36,50.0,42.86,14.29,14.29,71.43,14.29,16.67,27.27,21.43,27.27,42.86,28.57,33.33,21.05,22.22,14.29,14.29,14.29
7cgw_ID_1,14.29,14.29,0.0,14.29,33.33,20.0,25.0,14.29,14.29,14.29,10.0,12.5,28.57,14.29,25.0,36.36,40.0,50.0,14.29,14.29,36.36,14.29,42.86,71.43,37.5,42.86,100.0,50.0,75.0,75.0,28.57,28.57,40.0,45.45,12.5,14.29,14.29,14.29,42.86,14.29,25.0,18.18,21.43,27.27,42.86,28.57,33.33,15.79,22.22,14.29,28.57,28.57
7bxa_ID_2,25.0,25.0,12.5,25.0,22.22,30.0,25.0,14.29,25.0,0.0,30.0,25.0,25.0,25.0,25.0,72.73,40.0,40.0,12.5,12.5,36.36,25.0,28.57,50.0,25.0,25.0,50.0,100.0,50.0,50.0,25.0,25.0,30.0,36.36,25.0,12.5,12.5,25.0,25.0,25.0,16.67,9.09,14.29,18.18,25.0,12.5,22.22,10.53,22.22,12.5,25.0,25.0
7cgw_ID_2,12.5,12.5,0.0,12.5,33.33,30.0,25.0,21.43,12.5,12.5,20.0,12.5,25.0,12.5,25.0,36.36,50.0,50.0,25.0,25.0,36.36,25.0,42.86,62.5,50.0,50.0,75.0,50.0,100.0,62.5,37.5,25.0,40.0,54.55,25.0,25.0,12.5,12.5,50.0,12.5,16.67,27.27,28.57,27.27,25.0,25.0,44.44,21.05,22.22,12.5,25.0,25.0
5jxe_ID_1,12.5,12.5,0.0,12.5,33.33,20.0,25.0,14.29,12.5,12.5,10.0,12.5,25.0,12.5,37.5,45.45,40.0,50.0,25.0,25.0,54.55,12.5,50.0,50.0,62.5,50.0,75.0,50.0,62.5,100.0,37.5,37.5,50.0,54.55,25.0,37.5,25.0,25.0,37.5,25.0,25.0,18.18,21.43,27.27,37.5,25.0,33.33,15.79,22.22,12.5,25.0,25.0
5wt9,28.57,28.57,14.29,14.29,22.22,10.0,25.0,14.29,14.29,14.29,20.0,25.0,14.29,14.29,25.0,18.18,30.0,30.0,28.57,28.57,18.18,42.86,21.43,28.57,75.0,85.71,28.57,25.0,37.5,37.5,100.0,14.29,30.0,36.36,50.0,42.86,14.29,28.57,57.14,14.29,16.67,27.27,21.43,27.27,42.86,28.57,33.33,21.05,22.22,14.29,14.29,14.29
5jxe_ID_2,14.29,16.67,0.0,14.29,11.11,10.0,12.5,7.14,14.29,0.0,10.0,12.5,16.67,14.29,37.5,27.27,30.0,30.0,16.67,16.67,27.27,16.67,21.43,28.57,25.0,14.29,28.57,25.0,25.0,37.5,14.29,100.0,30.0,27.27,12.5,14.29,33.33,25.0,16.67,28.57,8.33,9.09,7.14,9.09,16.67,25.0,11.11,5.26,11.11,16.67,14.29,14.29
5b8c_ID_3,30.0,20.0,10.0,30.0,30.0,40.0,20.0,14.29,30.0,0.0,30.0,20.0,30.0,30.0,40.0,45.45,80.0,80.0,10.0,10.0,63.64,20.0,57.14,40.0,40.0,30.0,40.0,30.0,40.0,50.0,30.0,30.0,100.0,81.82,20.0,20.0,10.0,20.0,20.0,20.0,8.33,9.09,7.14,9.09,20.0,10.0,20.0,10.53,30.0,20.0,30.0,30.0
5b8c_ID_4,18.18,18.18,9.09,18.18,27.27,36.36,27.27,21.43,18.18,9.09,27.27,18.18,27.27,18.18,36.36,45.45,72.73,81.82,9.09,9.09,63.64,18.18,64.29,45.45,45.45,36.36,45.45,36.36,54.55,54.55,36.36,27.27,81.82,100.0,18.18,27.27,9.09,18.18,27.27,18.18,16.67,18.18,21.43,18.18,27.27,18.18,27.27,15.79,27.27,18.18,27.27,27.27
7wvm_ID_2,12.5,12.5,12.5,25.0,22.22,10.0,25.0,21.43,25.0,37.5,20.0,37.5,25.0,25.0,12.5,18.18,30.0,20.0,62.5,50.0,27.27,62.5,21.43,12.5,50.0,50.0,12.5,25.0,25.0,25.0,50.0,12.5,20.0,18.18,100.0,62.5,37.5,37.5,50.0,25.0,25.0,27.27,21.43,27.27,25.0,12.5,33.33,21.05,22.22,12.5,25.0,12.5
7wsl,14.29,14.29,14.29,14.29,22.22,10.0,25.0,14.29,14.29,28.57,20.0,25.0,28.57,28.57,25.0,18.18,30.0,30.0,57.14,57.14,36.36,57.14,28.57,14.29,50.0,42.86,14.29,12.5,25.0,37.5,42.86,14.29,20.0,27.27,62.5,100.0,42.86,42.86,42.86,42.86,25.0,36.36,21.43,27.27,14.29,28.57,33.33,21.05,22.22,14.29,14.29,14.29
7cu5_ID_1,14.29,16.67,20.0,14.29,22.22,10.0,12.5,14.29,14.29,16.67,10.0,12.5,33.33,14.29,12.5,9.09,10.0,10.0,50.0,50.0,27.27,33.33,21.43,14.29,25.0,14.29,14.29,12.5,12.5,25.0,14.29,33.33,10.0,9.09,37.5,42.86,100.0,75.0,33.33,28.57,8.33,9.09,7.14,9.09,0.0,25.0,11.11,5.26,11.11,0.0,14.29,0.0
7cu5_ID_2,28.57,33.33,40.0,28.57,22.22,10.0,25.0,14.29,28.57,16.67,20.0,25.0,33.33,28.57,12.5,18.18,20.0,20.0,50.0,50.0,36.36,33.33,28.57,28.57,25.0,14.29,14.29,25.0,12.5,25.0,28.57,25.0,20.0,18.18,37.5,42.86,75.0,100.0,33.33,28.57,8.33,9.09,7.14,9.09,0.0,25.0,11.11,5.26,11.11,0.0,14.29,0.0
6k0y,28.57,33.33,16.67,28.57,22.22,10.0,37.5,21.43,28.57,33.33,30.0,37.5,33.33,28.57,25.0,18.18,30.0,30.0,50.0,50.0,27.27,50.0,28.57,28.57,62.5,71.43,42.86,25.0,50.0,37.5,57.14,16.67,20.0,27.27,50.0,42.86,33.33,33.33,100.0,28.57,25.0,36.36,28.57,36.36,50.0,33.33,33.33,21.05,22.22,16.67,28.57,14.29
5grj,28.57,28.57,28.57,28.57,22.22,10.0,37.5,21.43,28.57,42.86,30.0,37.5,28.57,42.86,25.0,18.18,20.0,20.0,28.57,28.57,27.27,28.57,21.43,14.29,25.0,14.29,14.29,25.0,12.5,25.0,14.29,28.57,20.0,18.18,25.0,42.86,28.57,28.57,28.57,100.0,25.0,36.36,28.57,36.36,14.29,14.29,33.33,31.58,33.33,14.29,28.57,28.57
5x8l_ID_1,16.67,16.67,16.67,16.67,16.67,16.67,25.0,28.57,16.67,25.0,25.0,25.0,16.67,25.0,16.67,16.67,16.67,16.67,25.0,16.67,16.67,16.67,28.57,16.67,16.67,16.67,25.0,16.67,16.67,25.0,16.67,8.33,8.33,16.67,25.0,25.0,8.33,8.33,25.0,25.0,100.0,66.67,71.43,75.0,33.33,25.0,41.67,52.63,16.67,8.33,16.67,8.33
5x8l_ID_2,27.27,27.27,27.27,27.27,27.27,18.18,36.36,28.57,27.27,36.36,36.36,36.36,27.27,36.36,9.09,9.09,18.18,18.18,27.27,18.18,18.18,18.18,28.57,9.09,27.27,27.27,18.18,9.09,27.27,18.18,27.27,9.09,9.09,18.18,27.27,36.36,9.09,9.09,36.36,36.36,66.67,100.0,64.29,81.82,45.45,36.36,63.64,52.63,27.27,18.18,27.27,18.18
5x8l_ID_3,21.43,21.43,21.43,21.43,21.43,21.43,21.43,28.57,21.43,21.43,21.43,21.43,21.43,21.43,14.29,14.29,14.29,14.29,21.43,14.29,14.29,14.29,28.57,14.29,21.43,21.43,21.43,14.29,28.57,21.43,21.43,7.14,7.14,21.43,21.43,21.43,7.14,7.14,28.57,28.57,71.43,64.29,100.0,78.57,35.71,28.57,50.0,73.68,21.43,14.29,21.43,14.29
5x8l_ID_4,18.18,18.18,18.18,18.18,18.18,9.09,27.27,21.43,18.18,27.27,27.27,27.27,18.18,18.18,18.18,18.18,18.18,18.18,27.27,18.18,18.18,18.18,28.57,18.18,27.27,27.27,27.27,18.18,27.27,27.27,27.27,9.09,9.09,18.18,27.27,27.27,9.09,9.09,36.36,36.36,75.0,81.82,78.57,100.0,45.45,36.36,54.55,57.89,27.27,9.09,27.27,18.18
5x8m,28.57,33.33,16.67,14.29,22.22,10.0,25.0,14.29,14.29,33.33,20.0,25.0,16.67,14.29,25.0,18.18,20.0,30.0,16.67,0.0,9.09,16.67,28.57,28.57,37.5,42.86,42.86,25.0,25.0,37.5,42.86,16.67,20.0,27.27,25.0,14.29,0.0,0.0,50.0,14.29,33.33,45.45,35.71,45.45,100.0,50.0,33.33,26.32,11.11,16.67,14.29,14.29
5xj4,14.29,16.67,20.0,14.29,11.11,0.0,25.0,14.29,14.29,33.33,20.0,25.0,16.67,14.29,12.5,9.09,10.0,20.0,16.67,16.67,9.09,16.67,14.29,14.29,25.0,28.57,28.57,12.5,25.0,25.0,28.57,25.0,10.0,18.18,12.5,28.57,25.0,25.0,33.33,14.29,25.0,36.36,28.57,36.36,50.0,100.0,33.33,21.05,11.11,16.67,14.29,14.29
5x8l_ID_5,22.22,22.22,22.22,33.33,33.33,30.0,33.33,28.57,33.33,33.33,30.0,33.33,33.33,33.33,11.11,18.18,30.0,20.0,33.33,22.22,18.18,33.33,21.43,22.22,33.33,33.33,33.33,22.22,44.44,33.33,33.33,11.11,20.0,27.27,33.33,33.33,11.11,11.11,33.33,33.33,41.67,63.64,50.0,54.55,33.33,33.33,100.0,47.37,33.33,22.22,22.22,22.22
5xxy,15.79,15.79,21.05,26.32,21.05,21.05,21.05,31.58,21.05,21.05,21.05,26.32,21.05,21.05,10.53,10.53,15.79,10.53,15.79,10.53,10.53,15.79,21.05,10.53,21.05,21.05,15.79,10.53,21.05,15.79,21.05,5.26,10.53,15.79,21.05,21.05,5.26,5.26,21.05,31.58,52.63,52.63,73.68,57.89,26.32,21.05,47.37,100.0,21.05,21.05,21.05,21.05
6txz_ID_1,22.22,22.22,22.22,22.22,22.22,20.0,22.22,28.57,22.22,22.22,20.0,22.22,22.22,22.22,22.22,18.18,30.0,30.0,22.22,22.22,27.27,11.11,21.43,11.11,22.22,22.22,22.22,22.22,22.22,22.22,22.22,11.11,30.0,27.27,22.22,22.22,11.11,11.11,22.22,33.33,16.67,27.27,21.43,27.27,11.11,11.11,33.33,21.05,100.0,55.56,66.67,77.78
6txz_ID_2,14.29,16.67,16.67,14.29,22.22,20.0,12.5,14.29,14.29,33.33,10.0,12.5,16.67,14.29,25.0,18.18,20.0,20.0,16.67,16.67,18.18,16.67,14.29,14.29,12.5,14.29,14.29,12.5,12.5,12.5,14.29,16.67,20.0,18.18,12.5,14.29,0.0,0.0,16.67,14.29,8.33,18.18,14.29,9.09,16.67,16.67,22.22,21.05,55.56,100.0,57.14,71.43
6txz_ID_3,14.29,14.29,14.29,14.29,22.22,0.0,12.5,14.29,14.29,28.57,10.0,12.5,14.29,14.29,25.0,27.27,30.0,30.0,14.29,14.29,27.27,14.29,21.43,14.29,12.5,14.29,28.57,25.0,25.0,25.0,14.29,14.29,30.0,27.27,25.0,14.29,14.29,14.29,28.57,28.57,16.67,27.27,21.43,27.27,14.29,14.29,22.22,21.05,66.67,57.14,100.0,71.43
6txz_ID_4,14.29,14.29,14.29,14.29,11.11,20.0,12.5,21.43,14.29,14.29,10.0,12.5,14.29,14.29,25.0,18.18,30.0,30.0,14.29,14.29,27.27,14.29,21.43,14.29,12.5,14.29,28.57,25.0,25.0,25.0,14.29,14.29,30.0,27.27,12.5,14.29,0.0,0.0,14.29,28.57,8.33,18.18,14.29,18.18,14.29,14.29,22.22,21.05,77.78,71.43,71.43,100.0
