,7su0_ID_1,5xj3_ID_1,7su0_ID_2,6rp8_ID_1,6rp8_ID_2,5tru_ID_1,5xj3_ID_2,5ggv,5xj3_ID_3,9dq4,5tru_ID_2,5xj3_ID_4,7su1,9dq3,8tui,6xkr,7cgw_ID_1,7wvm_ID_1,7wvm_ID_2,5ggs_ID_1,5jxe_ID_1,7bxa_ID_1,7bxa_ID_2,7cu5_ID_1,7cgw_ID_2,5b8c_ID_1,8gy5_ID_1,5b8c_ID_2,7cu5_ID_2,5jxe_ID_2,5b8c_ID_3,8gy5_ID_2,6k0y,7wsl,5wt9,5ggr_ID_1,5ggs_ID_2,5x8l_ID_1,5x8m,5x8l_ID_2,5grj,5x8l_ID_3,5xj4,5x8l_ID_5,5xxy,6txz_ID_1,6txz_ID_2,6txz_ID_3,6txz_ID_4
5tru_ID_2,60.0,22.22,85.71,57.14,57.14,57.14,42.86,40.0,25.0,14.29,100.0,42.86,71.43,62.5,25.0,28.57,14.29,28.57,25.0,20.0,12.5,27.27,25.0,14.29,12.5,18.18,14.29,21.43,14.29,14.29,18.18,14.29,28.57,14.29,14.29,14.29,10.0,14.29,14.29,11.11,42.86,18.18,14.29,9.09,21.05,28.57,22.22,28.57,14.29
5xj3_ID_4,30.0,44.44,42.86,50.0,42.86,42.86,50.0,20.0,37.5,28.57,42.86,100.0,50.0,37.5,12.5,0.0,14.29,16.67,25.0,10.0,12.5,9.09,0.0,16.67,12.5,9.09,16.67,28.57,16.67,0.0,9.09,33.33,33.33,42.86,14.29,14.29,0.0,21.43,33.33,33.33,57.14,45.45,33.33,27.27,26.32,33.33,22.22,14.29,28.57
7su1,50.0,33.33,71.43,66.67,57.14,57.14,50.0,50.0,25.0,21.43,71.43,50.0,100.0,62.5,12.5,28.57,14.29,33.33,25.0,20.0,12.5,18.18,25.0,16.67,12.5,18.18,16.67,21.43,33.33,16.67,18.18,33.33,33.33,28.57,14.29,28.57,10.0,14.29,16.67,11.11,42.86,18.18,16.67,9.09,15.79,16.67,22.22,14.29,14.29
9dq3,70.0,33.33,62.5,50.0,50.0,62.5,50.0,40.0,50.0,28.57,62.5,37.5,62.5,100.0,25.0,25.0,12.5,25.0,37.5,20.0,12.5,18.18,25.0,12.5,12.5,27.27,12.5,21.43,12.5,12.5,18.18,12.5,37.5,37.5,25.0,25.0,10.0,21.43,25.0,22.22,37.5,27.27,25.0,18.18,21.05,12.5,11.11,12.5,12.5
8tui,20.0,11.11,12.5,0.0,12.5,25.0,25.0,10.0,25.0,14.29,25.0,12.5,12.5,25.0,100.0,37.5,37.5,12.5,12.5,40.0,37.5,27.27,50.0,12.5,37.5,54.55,12.5,28.57,12.5,37.5,27.27,12.5,37.5,25.0,37.5,37.5,40.0,14.29,37.5,22.22,25.0,18.18,25.0,27.27,15.79,25.0,22.22,25.0,25.0
6xkr,20.0,22.22,28.57,14.29,28.57,28.57,28.57,20.0,25.0,14.29,28.57,0.0,28.57,25.0,37.5,100.0,71.43,14.29,25.0,30.0,37.5,45.45,62.5,14.29,50.0,45.45,14.29,28.57,14.29,28.57,27.27,14.29,42.86,14.29,42.86,28.57,20.0,14.29,28.57,33.33,14.29,9.09,14.29,18.18,15.79,14.29,11.11,14.29,14.29
7cgw_ID_1,10.0,22.22,14.29,0.0,14.29,14.29,14.29,10.0,12.5,14.29,14.29,14.29,14.29,12.5,37.5,71.43,100.0,14.29,25.0,30.0,37.5,36.36,50.0,14.29,62.5,45.45,14.29,35.71,14.29,28.57,27.27,14.29,42.86,28.57,42.86,28.57,20.0,14.29,42.86,22.22,14.29,18.18,28.57,27.27,10.53,14.29,22.22,14.29,28.57
7wvm_ID_1,20.0,22.22,28.57,16.67,14.29,14.29,16.67,10.0,12.5,7.14,28.57,16.67,33.33,25.0,12.5,14.29,14.29,100.0,50.0,30.0,12.5,18.18,12.5,33.33,12.5,18.18,50.0,14.29,16.67,16.67,27.27,50.0,33.33,42.86,42.86,28.57,30.0,14.29,16.67,22.22,28.57,18.18,16.67,18.18,15.79,16.67,11.11,14.29,28.57
7wvm_ID_2,20.0,22.22,25.0,12.5,25.0,25.0,25.0,10.0,25.0,28.57,25.0,25.0,25.0,37.5,12.5,25.0,25.0,50.0,100.0,20.0,25.0,18.18,12.5,25.0,37.5,18.18,37.5,21.43,25.0,12.5,36.36,37.5,37.5,37.5,37.5,37.5,20.0,21.43,12.5,33.33,37.5,27.27,12.5,27.27,21.05,25.0,22.22,12.5,25.0
5ggs_ID_1,20.0,30.0,20.0,10.0,20.0,20.0,20.0,20.0,20.0,14.29,20.0,10.0,20.0,20.0,40.0,30.0,30.0,30.0,20.0,100.0,40.0,45.45,50.0,10.0,40.0,54.55,20.0,50.0,10.0,20.0,36.36,20.0,20.0,30.0,20.0,20.0,40.0,14.29,20.0,30.0,20.0,9.09,10.0,18.18,10.53,20.0,20.0,20.0,20.0
5jxe_ID_1,10.0,33.33,12.5,0.0,12.5,12.5,12.5,10.0,12.5,7.14,12.5,12.5,12.5,12.5,37.5,37.5,37.5,12.5,25.0,40.0,100.0,27.27,37.5,25.0,25.0,27.27,37.5,28.57,12.5,25.0,45.45,25.0,25.0,25.0,37.5,37.5,30.0,28.57,25.0,44.44,25.0,18.18,12.5,27.27,21.05,12.5,22.22,25.0,12.5
7bxa_ID_1,27.27,18.18,27.27,9.09,18.18,18.18,18.18,18.18,18.18,21.43,27.27,9.09,18.18,18.18,27.27,45.45,36.36,18.18,18.18,45.45,27.27,100.0,54.55,9.09,36.36,54.55,18.18,35.71,9.09,18.18,27.27,27.27,18.18,18.18,18.18,18.18,36.36,21.43,18.18,27.27,18.18,18.18,9.09,27.27,15.79,27.27,27.27,27.27,27.27
7bxa_ID_2,20.0,11.11,25.0,12.5,25.0,25.0,25.0,20.0,25.0,7.14,25.0,0.0,25.0,25.0,50.0,62.5,50.0,12.5,12.5,50.0,37.5,54.55,100.0,12.5,50.0,54.55,12.5,35.71,12.5,37.5,27.27,12.5,25.0,12.5,25.0,25.0,30.0,14.29,25.0,33.33,25.0,9.09,12.5,18.18,15.79,12.5,22.22,12.5,25.0
7cu5_ID_1,10.0,11.11,14.29,20.0,14.29,14.29,16.67,10.0,12.5,14.29,14.29,16.67,16.67,12.5,12.5,14.29,14.29,33.33,25.0,10.0,25.0,9.09,12.5,100.0,12.5,18.18,33.33,14.29,25.0,33.33,18.18,33.33,16.67,28.57,14.29,14.29,10.0,7.14,0.0,11.11,28.57,9.09,25.0,9.09,5.26,0.0,11.11,0.0,14.29
7cgw_ID_2,10.0,22.22,12.5,0.0,12.5,12.5,12.5,10.0,12.5,21.43,12.5,12.5,12.5,12.5,37.5,50.0,62.5,12.5,37.5,40.0,25.0,36.36,50.0,12.5,100.0,63.64,25.0,42.86,12.5,25.0,27.27,25.0,50.0,37.5,25.0,25.0,20.0,14.29,25.0,33.33,12.5,18.18,12.5,27.27,15.79,12.5,22.22,25.0,25.0
5b8c_ID_1,27.27,27.27,18.18,9.09,18.18,27.27,18.18,27.27,27.27,21.43,18.18,9.09,18.18,27.27,54.55,45.45,45.45,18.18,18.18,54.55,27.27,54.55,54.55,18.18,63.64,100.0,18.18,50.0,9.09,27.27,36.36,18.18,36.36,27.27,27.27,27.27,36.36,14.29,18.18,18.18,18.18,9.09,9.09,18.18,15.79,9.09,18.18,18.18,18.18
8gy5_ID_1,10.0,11.11,14.29,16.67,14.29,14.29,16.67,10.0,12.5,14.29,14.29,16.67,16.67,12.5,12.5,14.29,14.29,50.0,37.5,20.0,37.5,18.18,12.5,33.33,25.0,18.18,100.0,28.57,33.33,16.67,36.36,66.67,33.33,71.43,14.29,28.57,20.0,7.14,0.0,11.11,14.29,18.18,16.67,9.09,10.53,16.67,22.22,14.29,14.29
5b8c_ID_2,21.43,21.43,21.43,21.43,14.29,14.29,14.29,14.29,14.29,28.57,21.43,28.57,21.43,21.43,28.57,28.57,35.71,14.29,21.43,50.0,28.57,35.71,35.71,14.29,42.86,50.0,28.57,100.0,14.29,21.43,42.86,35.71,28.57,35.71,14.29,21.43,21.43,21.43,21.43,14.29,21.43,21.43,14.29,21.43,15.79,21.43,21.43,14.29,21.43
7cu5_ID_2,10.0,33.33,14.29,20.0,28.57,28.57,33.33,10.0,25.0,14.29,14.29,16.67,33.33,12.5,12.5,14.29,14.29,16.67,25.0,10.0,12.5,9.09,12.5,25.0,12.5,9.09,33.33,14.29,100.0,25.0,27.27,33.33,33.33,28.57,28.57,14.29,20.0,7.14,0.0,11.11,14.29,9.09,25.0,9.09,5.26,0.0,22.22,0.0,14.29
5jxe_ID_2,10.0,11.11,14.29,0.0,14.29,14.29,16.67,10.0,12.5,7.14,14.29,0.0,16.67,12.5,37.5,28.57,28.57,16.67,12.5,20.0,25.0,18.18,37.5,33.33,25.0,27.27,16.67,21.43,25.0,100.0,27.27,16.67,33.33,14.29,14.29,28.57,20.0,7.14,16.67,11.11,28.57,9.09,25.0,9.09,5.26,16.67,11.11,14.29,14.29
5b8c_ID_3,18.18,36.36,18.18,9.09,18.18,18.18,18.18,9.09,18.18,21.43,18.18,9.09,18.18,18.18,27.27,27.27,27.27,27.27,36.36,36.36,45.45,27.27,27.27,18.18,27.27,36.36,36.36,42.86,27.27,27.27,100.0,36.36,36.36,36.36,27.27,27.27,45.45,14.29,9.09,18.18,27.27,27.27,18.18,18.18,15.79,9.09,27.27,27.27,18.18
8gy5_ID_2,10.0,22.22,14.29,16.67,14.29,14.29,16.67,10.0,12.5,21.43,14.29,33.33,33.33,12.5,12.5,14.29,14.29,50.0,37.5,20.0,25.0,27.27,12.5,33.33,25.0,18.18,66.67,35.71,33.33,16.67,36.36,100.0,50.0,71.43,14.29,14.29,20.0,14.29,16.67,22.22,14.29,27.27,16.67,18.18,10.53,33.33,33.33,14.29,14.29
6k0y,30.0,33.33,28.57,16.67,14.29,28.57,33.33,10.0,25.0,21.43,28.57,33.33,33.33,37.5,37.5,42.86,42.86,33.33,37.5,20.0,25.0,18.18,25.0,16.67,50.0,36.36,33.33,28.57,33.33,33.33,36.36,50.0,100.0,57.14,42.86,42.86,10.0,21.43,33.33,33.33,28.57,27.27,33.33,27.27,15.79,16.67,33.33,14.29,14.29
7wsl,30.0,22.22,14.29,14.29,28.57,14.29,28.57,10.0,37.5,28.57,14.29,42.86,28.57,37.5,25.0,14.29,28.57,42.86,37.5,30.0,25.0,18.18,12.5,28.57,37.5,27.27,71.43,35.71,28.57,14.29,36.36,71.43,57.14,100.0,28.57,28.57,20.0,14.29,14.29,22.22,28.57,27.27,28.57,18.18,15.79,14.29,33.33,14.29,14.29
5wt9,20.0,33.33,14.29,14.29,14.29,28.57,28.57,10.0,25.0,14.29,14.29,14.29,14.29,25.0,37.5,42.86,42.86,42.86,37.5,20.0,37.5,18.18,25.0,14.29,25.0,27.27,14.29,14.29,28.57,14.29,27.27,14.29,42.86,28.57,100.0,57.14,30.0,14.29,42.86,22.22,14.29,18.18,28.57,18.18,21.05,28.57,11.11,28.57,28.57
5ggr_ID_1,20.0,22.22,14.29,0.0,14.29,28.57,28.57,20.0,25.0,14.29,14.29,14.29,28.57,25.0,37.5,28.57,28.57,28.57,37.5,20.0,37.5,18.18,25.0,14.29,25.0,27.27,28.57,21.43,14.29,28.57,27.27,14.29,42.86,28.57,57.14,100.0,20.0,21.43,28.57,22.22,14.29,18.18,14.29,27.27,15.79,28.57,11.11,28.57,28.57
5ggs_ID_2,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,14.29,10.0,0.0,10.0,10.0,40.0,20.0,20.0,30.0,20.0,40.0,30.0,36.36,30.0,10.0,20.0,36.36,20.0,21.43,20.0,20.0,45.45,20.0,10.0,20.0,30.0,20.0,100.0,14.29,20.0,20.0,20.0,9.09,10.0,18.18,15.79,30.0,30.0,20.0,40.0
5x8l_ID_1,35.71,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,21.43,14.29,21.43,14.29,21.43,14.29,14.29,14.29,14.29,21.43,14.29,28.57,21.43,14.29,7.14,14.29,14.29,7.14,21.43,7.14,7.14,14.29,14.29,21.43,14.29,14.29,21.43,14.29,100.0,21.43,42.86,21.43,35.71,14.29,57.14,42.11,14.29,14.29,28.57,28.57
5x8m,30.0,33.33,14.29,16.67,14.29,28.57,33.33,10.0,25.0,21.43,14.29,33.33,16.67,25.0,37.5,28.57,42.86,16.67,12.5,20.0,25.0,18.18,25.0,0.0,25.0,18.18,0.0,21.43,0.0,16.67,9.09,16.67,33.33,14.29,42.86,28.57,20.0,21.43,100.0,33.33,14.29,45.45,50.0,36.36,26.32,33.33,11.11,14.29,28.57
5x8l_ID_2,30.0,33.33,22.22,22.22,22.22,33.33,22.22,20.0,22.22,14.29,11.11,33.33,11.11,22.22,22.22,33.33,22.22,22.22,33.33,30.0,44.44,27.27,33.33,11.11,33.33,18.18,11.11,14.29,11.11,11.11,18.18,22.22,33.33,22.22,22.22,22.22,20.0,42.86,33.33,100.0,44.44,54.55,11.11,36.36,42.11,33.33,22.22,22.22,33.33
5grj,30.0,22.22,42.86,42.86,42.86,42.86,28.57,20.0,25.0,21.43,42.86,57.14,42.86,37.5,25.0,14.29,14.29,28.57,37.5,20.0,25.0,18.18,25.0,28.57,12.5,18.18,14.29,21.43,14.29,28.57,27.27,14.29,28.57,28.57,14.29,14.29,20.0,21.43,14.29,44.44,100.0,45.45,28.57,18.18,31.58,14.29,22.22,28.57,28.57
5x8l_ID_3,27.27,36.36,18.18,18.18,18.18,18.18,27.27,9.09,27.27,35.71,18.18,45.45,18.18,27.27,18.18,9.09,18.18,18.18,27.27,9.09,18.18,18.18,9.09,9.09,18.18,9.09,18.18,21.43,9.09,9.09,27.27,27.27,27.27,27.27,18.18,18.18,9.09,35.71,45.45,54.55,45.45,100.0,36.36,54.55,52.63,27.27,27.27,27.27,36.36
5xj4,20.0,22.22,14.29,20.0,14.29,14.29,33.33,0.0,25.0,14.29,14.29,33.33,16.67,25.0,25.0,14.29,28.57,16.67,12.5,10.0,12.5,9.09,12.5,25.0,12.5,9.09,16.67,14.29,25.0,25.0,18.18,16.67,33.33,28.57,28.57,14.29,10.0,14.29,50.0,11.11,28.57,36.36,100.0,27.27,21.05,16.67,11.11,14.29,14.29
5x8l_ID_5,27.27,18.18,9.09,9.09,18.18,18.18,18.18,9.09,18.18,21.43,9.09,27.27,9.09,18.18,27.27,18.18,27.27,18.18,27.27,18.18,27.27,27.27,18.18,9.09,27.27,18.18,9.09,21.43,9.09,9.09,18.18,18.18,27.27,18.18,18.18,27.27,18.18,57.14,36.36,36.36,18.18,54.55,27.27,100.0,36.84,18.18,27.27,27.27,27.27
5xxy,15.79,21.05,21.05,21.05,21.05,15.79,15.79,15.79,21.05,31.58,21.05,26.32,15.79,21.05,15.79,15.79,10.53,15.79,21.05,10.53,21.05,15.79,15.79,5.26,15.79,15.79,10.53,15.79,5.26,5.26,15.79,10.53,15.79,15.79,21.05,15.79,15.79,42.11,26.32,42.11,31.58,52.63,21.05,36.84,100.0,21.05,21.05,21.05,26.32
6txz_ID_1,20.0,22.22,28.57,16.67,14.29,14.29,16.67,10.0,12.5,14.29,28.57,33.33,16.67,12.5,25.0,14.29,14.29,16.67,25.0,20.0,12.5,27.27,12.5,0.0,12.5,9.09,16.67,21.43,0.0,16.67,9.09,33.33,16.67,14.29,28.57,28.57,30.0,14.29,33.33,33.33,14.29,27.27,16.67,18.18,21.05,100.0,44.44,42.86,42.86
6txz_ID_2,20.0,33.33,22.22,22.22,22.22,22.22,22.22,10.0,22.22,14.29,22.22,22.22,22.22,11.11,22.22,11.11,22.22,11.11,22.22,20.0,22.22,27.27,22.22,11.11,22.22,18.18,22.22,21.43,22.22,11.11,27.27,33.33,33.33,33.33,11.11,11.11,30.0,14.29,11.11,22.22,22.22,27.27,11.11,27.27,21.05,44.44,100.0,44.44,55.56
6txz_ID_3,20.0,11.11,28.57,14.29,14.29,14.29,14.29,10.0,12.5,21.43,28.57,14.29,14.29,12.5,25.0,14.29,14.29,14.29,12.5,20.0,25.0,27.27,12.5,0.0,25.0,18.18,14.29,14.29,0.0,14.29,27.27,14.29,14.29,14.29,28.57,28.57,20.0,28.57,14.29,22.22,28.57,27.27,14.29,27.27,21.05,42.86,44.44,100.0,42.86
6txz_ID_4,10.0,22.22,14.29,14.29,14.29,14.29,14.29,0.0,12.5,14.29,14.29,28.57,14.29,12.5,25.0,14.29,28.57,28.57,25.0,20.0,12.5,27.27,25.0,14.29,25.0,18.18,14.29,21.43,14.29,14.29,18.18,14.29,14.29,14.29,28.57,28.57,40.0,28.57,28.57,33.33,28.57,36.36,14.29,27.27,26.32,42.86,55.56,42.86,100.0
